latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.906,131.835,335.3,1.5,1.2,2020-05-30,0150,T,86,6.0NRT,302.7,50.4,D
-12.907,131.849,324.5,1.5,1.2,2020-05-30,0150,T,26,6.0NRT,301.9,21.7,D
-12.909,131.863,326.7,1.5,1.2,2020-05-30,0150,T,62,6.0NRT,302.5,27.2,D
-12.92,131.862,336.9,1.5,1.2,2020-05-30,0150,T,76,6.0NRT,302.9,50.4,D
-12.868,131.389,320.2,1.4,1.2,2020-05-30,0150,T,70,6.0NRT,303.3,15.3,D
-12.926,131.818,336.6,1.5,1.2,2020-05-30,0150,T,76,6.0NRT,303,49.2,D
-12.927,131.832,332,1.5,1.2,2020-05-30,0150,T,46,6.0NRT,302.7,35.9,D
-12.872,131.382,342.5,1.4,1.2,2020-05-30,0150,T,91,6.0NRT,303.3,63.9,D
-12.874,131.395,338,1.4,1.2,2020-05-30,0150,T,88,6.0NRT,303,51.8,D
-12.929,131.826,340.5,1.5,1.2,2020-05-30,0150,T,90,6.0NRT,303.5,59.3,D
-12.883,131.381,317.7,1.4,1.2,2020-05-30,0150,T,64,6.0NRT,301.8,12.2,D
-12.884,131.394,321.1,1.4,1.2,2020-05-30,0150,T,70,6.0NRT,302.1,17.7,D
-12.938,131.811,348.9,1.5,1.2,2020-05-30,0150,T,94,6.0NRT,304.5,89.1,D
-12.94,131.825,340.8,1.5,1.2,2020-05-30,0150,T,80,6.0NRT,303.8,58.3,D
-12.949,131.809,356,1.5,1.2,2020-05-30,0150,T,98,6.0NRT,304.9,119.4,D
-12.953,131.837,331.6,1.5,1.2,2020-05-30,0150,T,51,6.0NRT,302.4,35.9,D
-12.955,131.851,324.8,1.5,1.2,2020-05-30,0150,T,60,6.0NRT,302.3,24.1,D
-12.96,131.808,365.9,1.5,1.2,2020-05-30,0150,T,100,6.0NRT,305.1,169.8,D
-12.964,131.836,348.5,1.5,1.2,2020-05-30,0150,T,94,6.0NRT,302.9,86.2,D
-12.966,131.85,356.7,1.5,1.2,2020-05-30,0150,T,98,6.0NRT,303.6,124.6,D
-13.032,132.363,322.8,1.7,1.3,2020-05-30,0150,T,74,6.0NRT,303.3,25.7,D
-12.969,131.793,338.9,1.5,1.2,2020-05-30,0150,T,88,6.0NRT,303,58.7,D
-12.971,131.807,380.7,1.5,1.2,2020-05-30,0150,T,100,6.0NRT,309.4,269,D
-12.973,131.82,328.7,1.5,1.2,2020-05-30,0150,T,49,6.0NRT,303.3,29.3,D
-12.98,131.791,327.2,1.5,1.2,2020-05-30,0150,T,79,6.0NRT,301.1,27.2,D
