latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-15.414,131.272,317.3,1.6,1.3,2020-06-05,0115,T,68,6.0NRT,303,17.3,D
-15.28,130.406,310.4,1.9,1.3,2020-06-05,0115,T,38,6.0NRT,299.3,11.3,D
-15.283,130.423,331.5,1.9,1.3,2020-06-05,0115,T,84,6.0NRT,300.2,65.4,D
-15.412,131.266,319.6,1.6,1.3,2020-06-05,0115,T,72,6.0NRT,303.2,21.1,D
-15.275,130.419,331.2,1.9,1.3,2020-06-05,0115,T,84,6.0NRT,301,65.5,D
-15.278,130.436,310.1,1.9,1.3,2020-06-05,0115,T,43,6.0NRT,299.8,11.1,D
-15.007,126.379,312.8,3.9,1.8,2020-06-05,0115,T,64,6.0NRT,297.3,55.1,D
-15.013,126.414,315.1,3.8,1.8,2020-06-05,0115,T,68,6.0NRT,297.9,67.6,D
-15.019,126.406,316.1,3.8,1.8,2020-06-05,0115,T,70,6.0NRT,297.6,72.4,D
-15.186,125.117,308.8,4.7,2,2020-06-05,0115,T,32,6.0NRT,297.2,49,D
-15.204,125.113,310.6,4.7,2,2020-06-05,0115,T,51,6.0NRT,297.1,59.4,D
-15.202,125.108,310.6,4.7,2,2020-06-05,0115,T,49,6.0NRT,297.2,58.4,D
-6.455,143.22,302.7,1.8,1.3,2020-06-05,0110,T,46,6.0NRT,285.6,13.4,D
66.525,169.922,357.7,1,1,2020-06-05,0105,A,99,6.0NRT,290,82.3,D
66.534,169.934,312.4,1,1,2020-06-05,0105,A,62,6.0NRT,290.3,10.7,D
66.531,169.912,310.4,1,1,2020-06-05,0105,A,60,6.0NRT,288.5,9.5,D
15.369,-3.826,304.5,2,1.4,2020-06-05,0135,A,53,6.0NRT,290.6,12.4,N
5.57,5.222,305.8,1.8,1.3,2020-06-05,0135,A,34,6.0NRT,290.8,11,N
5.56,5.232,305.5,1.8,1.3,2020-06-05,0135,A,65,6.0NRT,290.4,12.6,N
4.303,7.665,316.6,2.9,1.6,2020-06-05,0135,A,91,6.0NRT,285.8,65.1,N
4.301,7.659,306,2.9,1.6,2020-06-05,0135,A,24,6.0NRT,286,26.7,N
4.593,-3.136,308.3,1.2,1.1,2020-06-05,0135,A,60,6.0NRT,295.3,7.1,N
35.814,-0.261,302.4,2.1,1.4,2020-06-05,0130,A,49,6.0NRT,289.9,16.6,N
32.514,6.714,319.8,1,1,2020-06-05,0130,A,99,6.0NRT,296.9,17.1,N
32.947,3.229,312.4,1.2,1.1,2020-06-05,0130,A,85,6.0NRT,291.4,15,N
32.946,3.242,303.6,1.2,1.1,2020-06-05,0130,A,56,6.0NRT,291.8,7.2,N
32.134,6.475,309.6,1,1,2020-06-05,0130,A,78,6.0NRT,297.7,8.3,N
31.822,6.221,308.2,1,1,2020-06-05,0130,A,74,6.0NRT,297.5,6.6,N
31.82,6.231,314.4,1,1,2020-06-05,0130,A,89,6.0NRT,297.6,11.2,N
31.85,5.058,318.3,1,1,2020-06-05,0130,A,97,6.0NRT,297.8,15.4,N
31.712,5.962,318.7,1,1,2020-06-05,0130,A,97,6.0NRT,297.7,14.6,N
31.711,5.972,318.5,1,1,2020-06-05,0130,A,97,6.0NRT,297.7,14.4,N
31.689,5.807,313.7,1,1,2020-06-05,0130,A,88,6.0NRT,297.4,11.2,N
31.687,5.817,314,1,1,2020-06-05,0130,A,88,6.0NRT,297.5,11.4,N
31.593,5.954,312.8,1,1,2020-06-05,0130,A,86,6.0NRT,297.6,10.5,N
31.592,5.964,324.6,1,1,2020-06-05,0130,A,100,6.0NRT,298.1,21.5,N
